solution_volume,transparency,turbidity,dilution,eta
0.1,88.0,12.0,3.2,-
0.3,87.0,13.0,3.5,-
0.5,87.1,12.9,3.4,-
0.7,87.3,12.7,3.4,-
0.9,87.9,12.1,3.2,-
1.1,88.8,11.2,3.0,-
1.3,89.2,10.8,2.9,-
1.5,89.6,10.4,2.8,-
