angle,U_max,U_min
0,0.009,0.00014
10,0.012,0.00034
20,0.014,0.0006
30,0.00695,0.00155
40,0.0064,0.0024
50,0.0048,0.0036
60,0.00395,0.00265
70,0.0048,0.00033
80,0.0062,0.00016
90,0.0049,0.00031
