angle,U_max,U_min
0,0.011,0.00046
10,0.006,0.0006
20,0.006,0.0007
30,0.008,0.00085
40,0.00465,0.0017
50,0.0045,0.0014
60,0.0044,0.00045
70,0.0055,0.00012
80,0.0048,0.00012
90,0.0049,0.0005
