angle,U
0,0.0051
5,0.0061
10,0.0072
15,0.009
20,0.0072
25,0.0092
30,0.0088
35,0.01
40,0.0104
45,0.0112
50,0.0109
55,0.0126
60,0.0132
65,0.013
70,0.0127
